true_archetype,jd_match,project_quality,github_score,cgpa
All-Rounder,79.6,65.43,79.63,9.08
All-Rounder,74.27,56.84,68.16,8.69
All-Rounder,78.32,71.49,79.06,8.39
All-Rounder,82.31,75.52,82.65,8.34
All-Rounder,80.43,68.16,67.79,8.88
All-Rounder,76.3,74.83,72.87,7.97
All-Rounder,75.07,78.62,75.89,7.52
All-Rounder,73.71,80.69,70.5,7.48
All-Rounder,86.36,74.09,71.51,8.05
All-Rounder,81.49,66.75,80.04,8.42
All-Rounder,76.47,70.87,70.78,8.62
All-Rounder,69.81,60.27,76.3,8.45
All-Rounder,77.88,72.45,69.76,8.51
All-Rounder,74.73,67.08,69.82,9.01
All-Rounder,64.59,73.0,60.25,8.16
All-Rounder,72.4,57.49,74.72,8.05
All-Rounder,62.4,75.04,82.05,8.8
All-Rounder,77.15,70.28,81.3,8.87
All-Rounder,81.8,64.35,73.41,8.38
All-Rounder,64.14,72.82,87.91,8.46
All-Rounder,83.84,71.1,71.49,8.35
All-Rounder,70.11,64.22,80.86,8.75
All-Rounder,69.05,75.81,71.39,8.34
All-Rounder,77.76,75.97,72.58,8.76
All-Rounder,76.86,73.75,66.17,9.06
All-Rounder,77.82,74.28,60.74,7.87
All-Rounder,82.43,71.72,58.6,8.62
All-Rounder,71.74,78.47,71.39,8.28
All-Rounder,82.07,64.62,65.05,8.12
All-Rounder,79.96,62.01,60.32,8.53
All-Rounder,71.38,67.65,59.0,7.93
All-Rounder,74.95,75.58,66.6,8.86
All-Rounder,70.89,65.9,82.76,8.28
All-Rounder,71.69,69.07,81.47,8.79
All-Rounder,70.1,69.75,72.63,7.81
All-Rounder,74.67,70.03,79.98,8.68
All-Rounder,73.02,68.72,76.65,7.97
All-Rounder,78.53,69.47,65.21,7.82
All-Rounder,83.68,69.06,83.48,7.99
All-Rounder,76.75,84.36,64.6,7.44
All-Rounder,82.72,65.04,71.86,7.97
All-Rounder,76.61,64.3,70.74,8.38
All-Rounder,68.95,65.8,69.57,7.63
All-Rounder,72.46,70.71,69.2,8.09
All-Rounder,74.88,66.07,76.84,8.77
All-Rounder,72.21,72.91,70.32,8.35
All-Rounder,84.39,73.05,59.59,8.38
All-Rounder,82.4,68.67,78.97,7.92
All-Rounder,66.09,70.85,59.7,8.1
All-Rounder,82.72,58.54,63.04,7.79
All-Rounder,74.62,67.81,81.79,8.58
All-Rounder,77.97,70.87,74.75,7.86
All-Rounder,80.14,63.33,77.85,8.67
All-Rounder,76.27,68.94,74.8,7.06
All-Rounder,76.81,69.32,71.65,8.48
All-Rounder,74.55,63.16,71.01,8.23
All-Rounder,75.69,70.97,79.28,7.77
All-Rounder,76.05,77.74,59.86,8.27
All-Rounder,71.49,67.78,65.67,8.13
All-Rounder,86.05,62.41,63.81,7.68
All-Rounder,85.36,67.23,71.82,8.04
All-Rounder,69.33,68.59,89.21,8.76
All-Rounder,69.88,73.89,66.18,7.49
All-Rounder,81.12,76.96,79.32,8.01
All-Rounder,74.0,74.5,74.74,8.04
All-Rounder,65.29,70.68,79.55,7.72
All-Rounder,78.83,71.99,77.25,8.55
All-Rounder,70.83,60.3,68.27,8.56
All-Rounder,71.75,65.84,59.25,8.9
All-Rounder,79.95,74.62,78.77,8.43
All-Rounder,73.53,69.02,69.01,9.25
All-Rounder,78.34,67.22,75.26,7.8
All-Rounder,84.03,66.03,75.51,8.63
All-Rounder,77.31,70.57,72.08,8.18
All-Rounder,71.54,67.3,82.36,8.16
All-Rounder,70.29,66.9,79.7,8.47
All-Rounder,78.36,68.45,76.01,7.94
All-Rounder,73.44,75.82,78.12,7.81
All-Rounder,69.87,70.65,84.08,7.43
All-Rounder,76.67,61.74,67.56,8.05
All-Rounder,72.48,66.8,72.05,7.99
All-Rounder,66.23,74.68,77.27,8.54
All-Rounder,65.76,71.79,76.73,7.79
All-Rounder,75.06,69.3,84.9,8.97
All-Rounder,65.01,84.96,65.59,8.59
All-Rounder,80.82,64.03,75.45,8.16
All-Rounder,78.33,71.38,80.37,8.23
All-Rounder,73.99,76.58,76.06,8.49
All-Rounder,71.01,63.73,68.03,7.95
All-Rounder,79.72,75.86,70.91,8.77
All-Rounder,83.21,71.46,66.25,8.83
All-Rounder,74.63,70.76,69.62,7.84
All-Rounder,66.19,73.8,66.52,9.42
All-Rounder,68.48,62.46,75.57,8.81
All-Rounder,75.39,73.43,59.1,7.93
All-Rounder,68.56,58.63,72.82,7.3
All-Rounder,67.07,66.78,66.18,8.36
All-Rounder,76.83,75.36,77.27,8.66
All-Rounder,74.99,71.82,75.58,8.26
All-Rounder,72.62,68.01,66.28,8.37
All-Rounder,74.44,66.02,67.36,7.72
All-Rounder,80.87,70.47,65.96,8.52
All-Rounder,71.64,61.56,79.15,7.99
All-Rounder,72.55,70.25,80.0,8.21
All-Rounder,67.81,73.26,68.61,8.96
All-Rounder,74.99,56.59,74.5,8.98
All-Rounder,84.46,80.99,64.86,8.56
All-Rounder,70.67,71.35,63.09,7.94
All-Rounder,70.94,75.39,77.61,8.31
All-Rounder,66.9,68.13,66.78,8.55
All-Rounder,82.07,76.34,66.71,7.1
All-Rounder,64.4,78.53,69.19,7.9
All-Rounder,84.86,77.59,72.17,8.08
All-Rounder,74.21,71.36,83.2,8.37
All-Rounder,79.36,77.02,63.81,8.5
All-Rounder,73.23,54.9,57.1,7.79
All-Rounder,78.19,70.68,73.29,8.98
All-Rounder,67.39,69.84,74.13,7.91
All-Rounder,75.17,60.4,81.87,7.93
All-Rounder,87.19,69.81,79.2,8.18
All-Rounder,74.82,66.5,72.83,8.33
All-Rounder,70.29,69.25,67.73,9.12
All-Rounder,74.46,79.27,70.63,8.3
All-Rounder,67.07,67.32,73.47,8.83
All-Rounder,76.33,78.3,76.49,8.85
All-Rounder,74.65,84.34,68.6,7.89
All-Rounder,67.74,83.99,77.74,8.07
All-Rounder,82.49,74.13,85.76,7.58
All-Rounder,73.41,67.22,58.18,8.62
All-Rounder,73.38,74.44,88.52,8.06
All-Rounder,72.47,70.71,78.91,7.97
All-Rounder,71.21,76.34,74.65,7.38
All-Rounder,67.65,79.01,74.81,7.9
All-Rounder,73.98,70.08,77.15,7.66
All-Rounder,69.95,71.64,71.3,8.43
All-Rounder,67.62,72.14,79.64,8.39
All-Rounder,75.83,69.42,66.16,8.17
All-Rounder,82.56,69.29,65.77,8.0
All-Rounder,76.21,67.76,75.4,8.41
All-Rounder,80.33,78.54,78.97,7.83
All-Rounder,69.58,69.55,68.84,7.74
All-Rounder,72.35,67.15,67.3,8.07
All-Rounder,82.07,71.2,89.3,8.27
All-Rounder,73.26,70.02,73.8,8.37
All-Rounder,87.46,64.93,78.01,8.28
All-Rounder,65.57,74.62,80.87,7.86
All-Rounder,74.95,59.65,63.19,8.62
All-Rounder,72.2,63.35,73.61,7.99
All-Rounder,72.18,74.44,63.87,7.84
All-Rounder,75.92,75.82,80.67,7.93
All-Rounder,80.62,65.3,84.78,7.75
All-Rounder,82.97,66.06,86.09,8.44
All-Rounder,68.9,66.87,77.47,8.62
All-Rounder,74.58,70.27,77.31,8.25
All-Rounder,67.24,65.12,73.65,8.69
All-Rounder,84.7,74.68,74.01,8.5
All-Rounder,71.0,69.08,66.23,7.7
All-Rounder,77.0,71.11,76.81,8.42
All-Rounder,76.46,73.34,71.7,8.37
All-Rounder,70.64,72.22,76.68,7.93
All-Rounder,75.31,66.26,68.31,7.75
All-Rounder,82.59,76.39,75.76,8.99
All-Rounder,73.86,88.19,70.41,8.3
All-Rounder,72.61,72.23,77.85,8.15
All-Rounder,85.66,71.43,73.89,7.84
All-Rounder,77.51,69.2,67.74,7.89
All-Rounder,91.03,68.42,61.8,7.92
All-Rounder,74.69,73.28,75.88,8.47
All-Rounder,71.13,72.04,65.87,7.95
All-Rounder,69.49,62.87,79.45,8.48
All-Rounder,80.86,70.24,77.44,7.5
All-Rounder,80.18,71.06,76.39,8.35
All-Rounder,69.08,61.01,67.02,8.43
All-Rounder,79.14,61.79,65.13,7.91
All-Rounder,72.86,61.83,62.05,7.87
All-Rounder,75.52,62.92,71.19,8.62
All-Rounder,67.19,68.76,79.17,8.03
